Data collector,Date,Country,City,Postal code,Latitude/Longitude,Image link,Source,Building category,Occupancy group,Occupancy type,Number of floors (excl. basement),Basement,Material,Roof shape,Roof covers,Shutters,Window area,Remarks,@
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.699438936667&lng=-96.8429643425&z=17.541111896932062&focus=photo&pKey=1374738236357866&x=0.5479210441021524&y=0.5144911221328565&zoom=0,Mapillary,Non-engineered multi-family home or hotel,RES: Residential,RES3: Multi-Family building ,2,No,Masonry,Flat,Single ply membrane,No,About 20% of surface,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.698717701702&lng=-96.842963789289&z=17&focus=photo&pKey=540287094256817&x=0.38740597384351116&y=0.4547350871491856&zoom=0,Mapillary,Non-engineered multi-family home or hotel,RES: Residential,RES3: Multi-Family building ,2,No,Masonry,Gable,Shingles,Yes,About 20% of surface,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.698299243333&lng=-96.844533388333&z=17&focus=photo&pKey=586100989479266&x=0.38702504450818564&y=0.4903184124486851&zoom=0,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,1,No,Masonry,Gable,Shingles,No,Much less than 20%,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.698299243333&lng=-96.844533388333&z=17&focus=photo&pKey=586100989479266&x=0.38702504450818564&y=0.4903184124486851&zoom=1,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,1,No,Masonry,Gable,Shingles,No,Much less than 20%,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.69870355&lng=-96.844495078333&z=17&focus=photo&pKey=1071521703721043&x=0.43532761696089534&y=0.4530771991961128&zoom=0,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,1,No,Masonry,Gable,Shingles,No,Much less than 20%,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.698842916248&lng=-96.844530999162&z=17&focus=photo&pKey=561776522037857,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,1,No,Masonry,Gable,Shingles,Yes,Much less than 20%,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.6992277&lng=-96.8450823&z=17&focus=photo&pKey=129717756388680&x=0.819622665353272&y=0.47779114354656893&zoom=1.0430759336890243,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,2,No,Masonry,Gable,Shingles,Yes,Much less than 20%,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.699363021667&lng=-96.84546733&z=17&focus=photo&pKey=974490669906413&x=0.529070434411868&y=0.4549361927088691&zoom=1.158680687881098,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,1,No,Masonry,Gable,Shingles,No,Much less than 20%,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.69961722453&lng=-96.845988629575&z=17&focus=photo&pKey=982324345785118&x=0.46084411161862693&y=0.3892259931541653&zoom=1.5287911019674163,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,1,No,Masonry,Gable,Shingles,Yes,Much less than 20%,,
Nirvik,,United States,Dallas,75224,,https://www.mapillary.com/app/?lat=32.699721042918&lng=-96.846503086552&z=17&focus=photo&pKey=371698134813610,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,1,No,Masonry,Gable,Shingles,Yes,Much less than 20%,,
Nirvik,,United States,Dallas,75201,,https://www.mapillary.com/app/?lat=32.7790953&lng=-96.7965662&z=15.46636738518262&focus=photo&pKey=1713845878963669&x=0.601864818744631&y=0.32835880906609555&zoom=1.7123766643245044,Mapillary,Engineered commercial building,EDU: Education,EDU1: Schools/Libraries,6 or more,No,Concrete,Flat,Built up roof,No,About 20% of surface,,
Nirvik,,United States,Dallas,75201,,https://www.mapillary.com/app/?lat=32.77953670000001&lng=-96.79665620000003&z=16.872209029470607&focus=photo&pKey=582820849912035&x=0.07809049079549052&y=0.36768378690470926&zoom=1.7123766643245044,Mapillary,Engineered commercial building,COM: Commerical,COM10: Parking,6 or more,No,Concrete,Flat,Built up roof,No,Much less than 20%,,
Nirvik,,United States,Dallas,75201,,https://www.mapillary.com/app/?lat=32.779437964072&lng=-96.796625782435&z=17&focus=photo&pKey=3234467060124250&x=0.32912269678784645&y=0.41430689391803266&zoom=0,Mapillary,Engineered commercial building,COM: Commerical,COM1: Retail trade,6 or more,No,Concrete,Flat,Single ply membrane,No,Much less than 20%,,
Nirvik,,United States,Dallas,75201,,https://www.mapillary.com/app/?lat=32.780131342941&lng=-96.796806169173&z=17&focus=photo&pKey=416662090061976,Mapillary,Engineered commercial building,COM: Commerical,,6 or more,No,Concrete,Flat,Single ply membrane,No,About 33% of surface,,
Nirvik,,United States,Dallas,75201,,https://www.mapillary.com/app/?lat=32.780603002777994&lng=-96.79613687277799&z=16.872209029470607&focus=photo&pKey=3162445894025510&x=0.5169882239557725&y=0.40010062413113556&zoom=0,Mapillary,Engineered commercial building,COM: Commerical,COM4: Professional services,6 or more,No,Concrete,Flat,Single ply membrane,No,About 33% of surface,,
Nirvik,,United States,Dallas,75215,,https://www.mapillary.com/app/?lat=32.770939329983&lng=-96.788482298995&z=17&focus=photo&pKey=3094357970806071&x=0.20042747718779597&y=0.3775257172578315&zoom=1.242013326505335,Mapillary,Low-rise masonry strip mall,COM: Commerical,COM5: Banks,2,No,Masonry,Flat,Single ply membrane,No,Much less than 20%,,
Nirvik,,United States,Dallas,75215,,https://www.mapillary.com/app/?lat=32.770623468526&lng=-96.788053845494&z=17&focus=photo&pKey=445904140693751&x=0.5358079428795147&y=0.4910179314221068&zoom=0,Mapillary,Low-rise masonry warehouse/industrial building,IND: Industry,IND2: Light industry,1,No,Concrete,Flat,Single ply membrane,No,Much less than 20%,,
Nirvik,,United States,Dallas,75215,,https://www.mapillary.com/app/?lat=32.7703106&lng=-96.787578633333&z=17&focus=photo&pKey=1094694174591418,Mapillary,Engineered commercial building,COM: Commerical,COM1: Retail trade,2,No,Concrete,Flat,Single ply membrane,No,Much less than 20%,,
Nirvik,,United States,Dallas,75215,,https://www.mapillary.com/app/?lat=32.77118692846901&lng=-96.78879069742504&z=17.180601014113503&focus=photo&pKey=1958609181007294&x=Infinity&y=Infinity&zoom=0.027315093249809432,Mapillary,Engineered residential building,RES: Residential,RES3: Multi-Family building ,2,Yes,Concrete,Flat,Built up roof,Yes,About 20% of surface,,
Nirvik,,United States,"Richmond, VA",23221,,https://www.mapillary.com/app/?lat=37.562520672249&lng=-77.482568437041&z=17&focus=photo&pKey=857379945130153&x=0.5006814074352708&y=0.4906223150468615&zoom=0,Mapillary,Single Family House,RES: Residential,RES1: Single Family Home,2,No,Masonry,Gable,Shingles,Yes,Much less than 20%,,
